"analysis_id","stratum_1","stratum_2","stratum_3","stratum_4","stratum_5","count_value"
0,"DEFAULT","1.6.6","2019-08-06",NULL,NULL,"1171"
2000000,"0.151157 secs",NULL,NULL,NULL,NULL,"6"
1,NULL,NULL,NULL,NULL,NULL,"1171"
2000001,"0.015444 secs",NULL,NULL,NULL,NULL,"6"
2,"8507",NULL,NULL,NULL,NULL,"628"
2,"8532",NULL,NULL,NULL,NULL,"543"
2000002,"0.016571 secs",NULL,NULL,NULL,NULL,"6"
3,"1909",NULL,NULL,NULL,NULL,"11"
3,"1914",NULL,NULL,NULL,NULL,"13"
3,"1915",NULL,NULL,NULL,NULL,"27"
3,"1918",NULL,NULL,NULL,NULL,"24"
3,"1925",NULL,NULL,NULL,NULL,"16"
3,"1935",NULL,NULL,NULL,NULL,"11"
3,"1936",NULL,NULL,NULL,NULL,"6"
3,"1939",NULL,NULL,NULL,NULL,"13"
3,"1940",NULL,NULL,NULL,NULL,"13"
3,"1942",NULL,NULL,NULL,NULL,"13"
3,"1943",NULL,NULL,NULL,NULL,"12"
3,"1944",NULL,NULL,NULL,NULL,"7"
3,"1945",NULL,NULL,NULL,NULL,"10"
3,"1946",NULL,NULL,NULL,NULL,"15"
3,"1947",NULL,NULL,NULL,NULL,"6"
3,"1948",NULL,NULL,NULL,NULL,"6"
3,"1949",NULL,NULL,NULL,NULL,"9"
3,"1951",NULL,NULL,NULL,NULL,"19"
3,"1952",NULL,NULL,NULL,NULL,"14"
3,"1953",NULL,NULL,NULL,NULL,"12"
3,"1954",NULL,NULL,NULL,NULL,"15"
3,"1955",NULL,NULL,NULL,NULL,"12"
3,"1956",NULL,NULL,NULL,NULL,"17"
3,"1957",NULL,NULL,NULL,NULL,"12"
3,"1958",NULL,NULL,NULL,NULL,"15"
3,"1959",NULL,NULL,NULL,NULL,"12"
3,"1960",NULL,NULL,NULL,NULL,"7"
3,"1961",NULL,NULL,NULL,NULL,"16"
3,"1962",NULL,NULL,NULL,NULL,"17"
3,"1963",NULL,NULL,NULL,NULL,"16"
3,"1964",NULL,NULL,NULL,NULL,"11"
3,"1965",NULL,NULL,NULL,NULL,"15"
3,"1966",NULL,NULL,NULL,NULL,"12"
3,"1967",NULL,NULL,NULL,NULL,"16"
3,"1968",NULL,NULL,NULL,NULL,"9"
3,"1969",NULL,NULL,NULL,NULL,"11"
3,"1970",NULL,NULL,NULL,NULL,"10"
3,"1971",NULL,NULL,NULL,NULL,"14"
3,"1972",NULL,NULL,NULL,NULL,"8"
3,"1973",NULL,NULL,NULL,NULL,"14"
3,"1974",NULL,NULL,NULL,NULL,"16"
3,"1975",NULL,NULL,NULL,NULL,"11"
3,"1976",NULL,NULL,NULL,NULL,"12"
3,"1977",NULL,NULL,NULL,NULL,"18"
3,"1978",NULL,NULL,NULL,NULL,"11"
3,"1979",NULL,NULL,NULL,NULL,"11"
3,"1980",NULL,NULL,NULL,NULL,"12"
3,"1981",NULL,NULL,NULL,NULL,"12"
3,"1982",NULL,NULL,NULL,NULL,"8"
3,"1983",NULL,NULL,NULL,NULL,"12"
3,"1984",NULL,NULL,NULL,NULL,"15"
3,"1985",NULL,NULL,NULL,NULL,"15"
3,"1986",NULL,NULL,NULL,NULL,"8"
3,"1987",NULL,NULL,NULL,NULL,"14"
3,"1988",NULL,NULL,NULL,NULL,"7"
3,"1989",NULL,NULL,NULL,NULL,"12"
3,"1990",NULL,NULL,NULL,NULL,"18"
3,"1991",NULL,NULL,NULL,NULL,"18"
3,"1992",NULL,NULL,NULL,NULL,"13"
3,"1993",NULL,NULL,NULL,NULL,"11"
3,"1994",NULL,NULL,NULL,NULL,"10"
3,"1995",NULL,NULL,NULL,NULL,"12"
3,"1996",NULL,NULL,NULL,NULL,"26"
3,"1997",NULL,NULL,NULL,NULL,"22"
3,"1998",NULL,NULL,NULL,NULL,"16"
3,"1999",NULL,NULL,NULL,NULL,"15"
3,"2000",NULL,NULL,NULL,NULL,"23"
3,"2001",NULL,NULL,NULL,NULL,"15"
3,"2002",NULL,NULL,NULL,NULL,"13"
3,"2003",NULL,NULL,NULL,NULL,"13"
3,"2004",NULL,NULL,NULL,NULL,"11"
3,"2005",NULL,NULL,NULL,NULL,"13"
3,"2006",NULL,NULL,NULL,NULL,"8"
3,"2007",NULL,NULL,NULL,NULL,"18"
3,"2008",NULL,NULL,NULL,NULL,"12"
3,"2009",NULL,NULL,NULL,NULL,"14"
3,"2010",NULL,NULL,NULL,NULL,"14"
3,"2011",NULL,NULL,NULL,NULL,"13"
3,"2012",NULL,NULL,NULL,NULL,"8"
3,"2013",NULL,NULL,NULL,NULL,"10"
3,"2014",NULL,NULL,NULL,NULL,"9"
3,"2015",NULL,NULL,NULL,NULL,"18"
3,"2016",NULL,NULL,NULL,NULL,"12"
3,"2017",NULL,NULL,NULL,NULL,"26"
3,"2018",NULL,NULL,NULL,NULL,"8"
2000003,"0.015219 secs",NULL,NULL,NULL,NULL,"6"
4,"0",NULL,NULL,NULL,NULL,"95"
4,"8515",NULL,NULL,NULL,NULL,"52"
4,"8516",NULL,NULL,NULL,NULL,"100"
4,"8527",NULL,NULL,NULL,NULL,"924"
2000004,"0.014794 secs",NULL,NULL,NULL,NULL,"6"
5,"0",NULL,NULL,NULL,NULL,"1103"
5,"38003563",NULL,NULL,NULL,NULL,"68"
2000005,"0.019750 secs",NULL,NULL,NULL,NULL,"6"
2000007,"0.016527 secs",NULL,NULL,NULL,NULL,"6"
2000008,"0.021065 secs",NULL,NULL,NULL,NULL,"6"
2000009,"0.015536 secs",NULL,NULL,NULL,NULL,"6"
10,"1909","8507",NULL,NULL,NULL,"11"
10,"1914","8507",NULL,NULL,NULL,"13"
10,"1915","8507",NULL,NULL,NULL,"25"
10,"1918","8507",NULL,NULL,NULL,"24"
10,"1925","8507",NULL,NULL,NULL,"16"
10,"1935","8507",NULL,NULL,NULL,"6"
10,"1939","8507",NULL,NULL,NULL,"8"
10,"1940","8532",NULL,NULL,NULL,"9"
10,"1942","8507",NULL,NULL,NULL,"7"
10,"1942","8532",NULL,NULL,NULL,"6"
10,"1943","8532",NULL,NULL,NULL,"8"
10,"1945","8507",NULL,NULL,NULL,"7"
10,"1946","8507",NULL,NULL,NULL,"11"
10,"1949","8532",NULL,NULL,NULL,"6"
10,"1951","8507",NULL,NULL,NULL,"8"
10,"1951","8532",NULL,NULL,NULL,"11"
10,"1952","8507",NULL,NULL,NULL,"10"
10,"1953","8507",NULL,NULL,NULL,"7"
10,"1954","8507",NULL,NULL,NULL,"6"
10,"1954","8532",NULL,NULL,NULL,"9"
10,"1955","8507",NULL,NULL,NULL,"6"
10,"1955","8532",NULL,NULL,NULL,"6"
10,"1956","8507",NULL,NULL,NULL,"9"
10,"1956","8532",NULL,NULL,NULL,"8"
10,"1957","8532",NULL,NULL,NULL,"7"
10,"1958","8507",NULL,NULL,NULL,"6"
10,"1958","8532",NULL,NULL,NULL,"9"
10,"1959","8532",NULL,NULL,NULL,"9"
10,"1961","8507",NULL,NULL,NULL,"11"
10,"1962","8507",NULL,NULL,NULL,"7"
10,"1962","8532",NULL,NULL,NULL,"10"
10,"1963","8507",NULL,NULL,NULL,"10"
10,"1963","8532",NULL,NULL,NULL,"6"
10,"1964","8532",NULL,NULL,NULL,"8"
10,"1965","8507",NULL,NULL,NULL,"9"
10,"1965","8532",NULL,NULL,NULL,"6"
10,"1966","8532",NULL,NULL,NULL,"7"
10,"1967","8507",NULL,NULL,NULL,"9"
10,"1967","8532",NULL,NULL,NULL,"7"
10,"1968","8507",NULL,NULL,NULL,"7"
10,"1969","8507",NULL,NULL,NULL,"9"
10,"1970","8532",NULL,NULL,NULL,"6"
10,"1971","8532",NULL,NULL,NULL,"12"
