"analysis_id","stratum_1","stratum_2","stratum_3","stratum_4","stratum_5","count_value"
0,"DEFAULT","1.6.6","2019-08-18",NULL,NULL,"5714"
2000000,"0.289488 secs",NULL,NULL,NULL,NULL,"6"
1,NULL,NULL,NULL,NULL,NULL,"5714"
2000001,"0.049628 secs",NULL,NULL,NULL,NULL,"6"
2,"8507",NULL,NULL,NULL,NULL,"3003"
2,"8532",NULL,NULL,NULL,NULL,"2711"
2000002,"0.048037 secs",NULL,NULL,NULL,NULL,"6"
3,"1909",NULL,NULL,NULL,NULL,"16"
3,"1910",NULL,NULL,NULL,NULL,"23"
3,"1911",NULL,NULL,NULL,NULL,"31"
3,"1912",NULL,NULL,NULL,NULL,"25"
3,"1913",NULL,NULL,NULL,NULL,"26"
3,"1914",NULL,NULL,NULL,NULL,"32"
3,"1915",NULL,NULL,NULL,NULL,"11"
3,"1916",NULL,NULL,NULL,NULL,"14"
3,"1917",NULL,NULL,NULL,NULL,"24"
3,"1918",NULL,NULL,NULL,NULL,"29"
3,"1919",NULL,NULL,NULL,NULL,"13"
3,"1920",NULL,NULL,NULL,NULL,"25"
3,"1921",NULL,NULL,NULL,NULL,"16"
3,"1922",NULL,NULL,NULL,NULL,"17"
3,"1923",NULL,NULL,NULL,NULL,"8"
3,"1924",NULL,NULL,NULL,NULL,"10"
3,"1925",NULL,NULL,NULL,NULL,"11"
3,"1926",NULL,NULL,NULL,NULL,"37"
3,"1927",NULL,NULL,NULL,NULL,"12"
3,"1929",NULL,NULL,NULL,NULL,"17"
3,"1930",NULL,NULL,NULL,NULL,"16"
3,"1931",NULL,NULL,NULL,NULL,"13"
3,"1932",NULL,NULL,NULL,NULL,"35"
3,"1933",NULL,NULL,NULL,NULL,"11"
3,"1934",NULL,NULL,NULL,NULL,"28"
3,"1935",NULL,NULL,NULL,NULL,"28"
3,"1936",NULL,NULL,NULL,NULL,"51"
3,"1937",NULL,NULL,NULL,NULL,"15"
3,"1938",NULL,NULL,NULL,NULL,"42"
3,"1939",NULL,NULL,NULL,NULL,"40"
3,"1940",NULL,NULL,NULL,NULL,"47"
3,"1941",NULL,NULL,NULL,NULL,"67"
3,"1942",NULL,NULL,NULL,NULL,"44"
3,"1943",NULL,NULL,NULL,NULL,"42"
3,"1944",NULL,NULL,NULL,NULL,"30"
3,"1945",NULL,NULL,NULL,NULL,"71"
3,"1946",NULL,NULL,NULL,NULL,"59"
3,"1947",NULL,NULL,NULL,NULL,"43"
3,"1948",NULL,NULL,NULL,NULL,"49"
3,"1949",NULL,NULL,NULL,NULL,"49"
3,"1950",NULL,NULL,NULL,NULL,"65"
3,"1951",NULL,NULL,NULL,NULL,"52"
3,"1952",NULL,NULL,NULL,NULL,"66"
3,"1953",NULL,NULL,NULL,NULL,"75"
3,"1954",NULL,NULL,NULL,NULL,"75"
3,"1955",NULL,NULL,NULL,NULL,"52"
3,"1956",NULL,NULL,NULL,NULL,"58"
3,"1957",NULL,NULL,NULL,NULL,"64"
3,"1958",NULL,NULL,NULL,NULL,"72"
3,"1959",NULL,NULL,NULL,NULL,"65"
3,"1960",NULL,NULL,NULL,NULL,"61"
3,"1961",NULL,NULL,NULL,NULL,"83"
3,"1962",NULL,NULL,NULL,NULL,"75"
3,"1963",NULL,NULL,NULL,NULL,"75"
3,"1964",NULL,NULL,NULL,NULL,"68"
3,"1965",NULL,NULL,NULL,NULL,"90"
3,"1966",NULL,NULL,NULL,NULL,"68"
3,"1967",NULL,NULL,NULL,NULL,"81"
3,"1968",NULL,NULL,NULL,NULL,"64"
3,"1969",NULL,NULL,NULL,NULL,"69"
3,"1970",NULL,NULL,NULL,NULL,"61"
3,"1971",NULL,NULL,NULL,NULL,"59"
3,"1972",NULL,NULL,NULL,NULL,"58"
3,"1973",NULL,NULL,NULL,NULL,"70"
3,"1974",NULL,NULL,NULL,NULL,"68"
3,"1975",NULL,NULL,NULL,NULL,"57"
3,"1976",NULL,NULL,NULL,NULL,"65"
3,"1977",NULL,NULL,NULL,NULL,"54"
3,"1978",NULL,NULL,NULL,NULL,"53"
3,"1979",NULL,NULL,NULL,NULL,"76"
3,"1980",NULL,NULL,NULL,NULL,"54"
3,"1981",NULL,NULL,NULL,NULL,"51"
3,"1982",NULL,NULL,NULL,NULL,"68"
3,"1983",NULL,NULL,NULL,NULL,"61"
3,"1984",NULL,NULL,NULL,NULL,"66"
3,"1985",NULL,NULL,NULL,NULL,"73"
3,"1986",NULL,NULL,NULL,NULL,"58"
3,"1987",NULL,NULL,NULL,NULL,"76"
3,"1988",NULL,NULL,NULL,NULL,"54"
3,"1989",NULL,NULL,NULL,NULL,"68"
3,"1990",NULL,NULL,NULL,NULL,"69"
3,"1991",NULL,NULL,NULL,NULL,"57"
3,"1992",NULL,NULL,NULL,NULL,"77"
3,"1993",NULL,NULL,NULL,NULL,"58"
3,"1994",NULL,NULL,NULL,NULL,"72"
3,"1995",NULL,NULL,NULL,NULL,"77"
3,"1996",NULL,NULL,NULL,NULL,"80"
3,"1997",NULL,NULL,NULL,NULL,"74"
3,"1998",NULL,NULL,NULL,NULL,"84"
3,"1999",NULL,NULL,NULL,NULL,"58"
3,"2000",NULL,NULL,NULL,NULL,"61"
3,"2001",NULL,NULL,NULL,NULL,"54"
3,"2002",NULL,NULL,NULL,NULL,"62"
3,"2003",NULL,NULL,NULL,NULL,"65"
3,"2004",NULL,NULL,NULL,NULL,"54"
3,"2005",NULL,NULL,NULL,NULL,"60"
3,"2006",NULL,NULL,NULL,NULL,"63"
3,"2007",NULL,NULL,NULL,NULL,"60"
3,"2008",NULL,NULL,NULL,NULL,"68"
3,"2009",NULL,NULL,NULL,NULL,"60"
3,"2010",NULL,NULL,NULL,NULL,"71"
3,"2011",NULL,NULL,NULL,NULL,"55"
3,"2012",NULL,NULL,NULL,NULL,"62"
3,"2013",NULL,NULL,NULL,NULL,"64"
3,"2014",NULL,NULL,NULL,NULL,"65"
3,"2015",NULL,NULL,NULL,NULL,"46"
3,"2016",NULL,NULL,NULL,NULL,"71"
3,"2017",NULL,NULL,NULL,NULL,"72"
3,"2018",NULL,NULL,NULL,NULL,"48"
3,"2019",NULL,NULL,NULL,NULL,"35"
2000003,"0.042810 secs",NULL,NULL,NULL,NULL,"6"
4,"0",NULL,NULL,NULL,NULL,"539"
4,"8515",NULL,NULL,NULL,NULL,"210"
4,"8516",NULL,NULL,NULL,NULL,"533"
4,"8527",NULL,NULL,NULL,NULL,"4432"
2000004,"0.042933 secs",NULL,NULL,NULL,NULL,"6"
5,"0",NULL,NULL,NULL,NULL,"5297"
5,"38003563",NULL,NULL,NULL,NULL,"417"
2000005,"0.043630 secs",NULL,NULL,NULL,NULL,"6"
2000007,"0.062147 secs",NULL,NULL,NULL,NULL,"6"
2000008,"0.053991 secs",NULL,NULL,NULL,NULL,"6"
2000009,"0.076217 secs",NULL,NULL,NULL,NULL,"6"
10,"1909","8507",NULL,NULL,NULL,"15"
10,"1910","8507",NULL,NULL,NULL,"11"
10,"1910","8532",NULL,NULL,NULL,"12"
10,"1911","8507",NULL,NULL,NULL,"15"
10,"1911","8532",NULL,NULL,NULL,"16"
10,"1912","8532",NULL,NULL,NULL,"22"
10,"1913","8507",NULL,NULL,NULL,"23"
10,"1914","8507",NULL,NULL,NULL,"22"
10,"1914","8532",NULL,NULL,NULL,"10"
10,"1915","8532",NULL,NULL,NULL,"11"
10,"1916","8507",NULL,NULL,NULL,"14"
10,"1917","8507",NULL,NULL,NULL,"11"
10,"1917","8532",NULL,NULL,NULL,"13"
10,"1918","8507",NULL,NULL,NULL,"25"
10,"1919","8507",NULL,NULL,NULL,"13"
10,"1920","8507",NULL,NULL,NULL,"20"
10,"1921","8507",NULL,NULL,NULL,"11"
10,"1922","8507",NULL,NULL,NULL,"13"
10,"1923","8507",NULL,NULL,NULL,"6"
10,"1924","8507",NULL,NULL,NULL,"6"
10,"1925","8532",NULL,NULL,NULL,"6"
10,"1926","8507",NULL,NULL,NULL,"29"
10,"1926","8532",NULL,NULL,NULL,"8"
10,"1927","8507",NULL,NULL,NULL,"11"
10,"1929","8507",NULL,NULL,NULL,"8"
10,"1929","8532",NULL,NULL,NULL,"9"
10,"1930","8507",NULL,NULL,NULL,"9"
10,"1930","8532",NULL,NULL,NULL,"7"
10,"1931","8532",NULL,NULL,NULL,"12"
10,"1932","8507",NULL,NULL,NULL,"35"
10,"1933","8507",NULL,NULL,NULL,"8"
10,"1934","8507",NULL,NULL,NULL,"9"
10,"1934","8532",NULL,NULL,NULL,"19"
10,"1935","8507",NULL,NULL,NULL,"20"
10,"1935","8532",NULL,NULL,NULL,"8"
10,"1936","8507",NULL,NULL,NULL,"32"
10,"1936","8532",NULL,NULL,NULL,"19"
10,"1937","8507",NULL,NULL,NULL,"10"
10,"1938","8507",NULL,NULL,NULL,"16"
10,"1938","8532",NULL,NULL,NULL,"26"
